,PC1,PC2
MW,0.42555966562267494,-0.18405934814245767
LogP,0.05021765610133344,-0.6361396536549847
TPSA,0.3600236791664067,0.4222131674058952
HBD,0.24247799203606946,0.4087683673933463
HBA,0.3588337582185087,0.21565499381390177
RotB,0.3104224198300982,-0.08688598015832144
Fsp3,0.06824191077692501,-0.17114195166675222
RingCount,0.2520244656203739,-0.3006551849114534
HeavyAtomCount,0.4304081346107729,-0.20083306759994465
QED,-0.3865440920014257,0.04494086910323067
