molregno,canonical_smiles,pref_name,first_approval,dosed_ingredient,full_mwt,logp,pic50,target_type,organism,target_name,assay_type,confidence_score,is_marketed,target_count,total_measurements,target_density,murcko_scaffold,scaffold_label,murcko_similarity,has_benzo_five_ring
2109012,Nc1nccn2c([C@H]3CC[C@@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4ccccn4)cc3)c12,,,0,467.53,3.49,6.7121982700697735,SINGLE PROTEIN,Homo sapiens,Tyrosine-protein kinase BTK,B,8,0,1,1,1.0,O=C(Nc1ccccn1)c1ccc(-c2nc([C@H]3CC[C@@H]4CCC(=O)N4C3)n3ccncc23)cc1,1,0.833,True
2213198,COc1cc2c(cc1OC)C(=O)/C(=C/c1cc[n+](Cc3ccc(F)cc3)cc1)C2.[Br-],,,0,470.34,4.0,8.387216143280265,SINGLE PROTEIN,Homo sapiens,Acetylcholinesterase,B,9,0,1,1,1.0,O=C1/C(=C/c2cc[n+](Cc3ccccc3)cc2)Cc2ccccc21,1,0.833,True
1448394,CN1C(=O)c2ccccc2C1C(=O)NCc1cccc(C(F)(F)F)c1Cl,,,0,382.77,3.8,7.79997073344623,SINGLE PROTEIN,Homo sapiens,P2X purinoceptor 7,B,9,0,1,1,1.0,O=C1NC(C(=O)NCc2ccccc2)c2ccccc21,1,0.833,True
1448393,CN1C(=O)c2ccccc2C1C(=O)NCc1ccc(F)cc1Cl,,,0,332.76,2.92,6.499996931948306,SINGLE PROTEIN,Homo sapiens,P2X purinoceptor 7,B,9,0,1,1,1.0,O=C1NC(C(=O)NCc2ccccc2)c2ccccc21,1,0.833,True
1448392,CN1C(=O)c2ccccc2C1C(=O)NCc1ccc(Cl)cc1Cl,,,0,349.22,3.44,6.900008766455316,SINGLE PROTEIN,Homo sapiens,P2X purinoceptor 7,B,9,0,1,1,1.0,O=C1NC(C(=O)NCc2ccccc2)c2ccccc21,1,0.833,True
1448391,CCN1C(=O)c2ccccc2C1C(=O)NCc1cccc(C(F)(F)F)c1Cl,,,0,396.8,4.19,7.100015437450609,SINGLE PROTEIN,Homo sapiens,P2X purinoceptor 7,B,9,0,1,1,1.0,O=C1NC(C(=O)NCc2ccccc2)c2ccccc21,1,0.833,True
1448390,CCN1C(=O)c2ccccc2C1C(=O)NCc1ccc(Cl)cc1Cl,,,0,363.24,3.83,6.399996913372259,SINGLE PROTEIN,Homo sapiens,P2X purinoceptor 7,B,9,0,1,1,1.0,O=C1NC(C(=O)NCc2ccccc2)c2ccccc21,1,0.833,True
1986436,O=C1O[C@@H]2CCCC[C@@H]2N1c1ccn2ncc(-c3ccc(-c4nc[nH]n4)c(F)c3)c2n1,,,0,419.42,3.59,8.236572006437063,SINGLE PROTEIN,Homo sapiens,Serine/threonine-protein kinase mTOR,B,9,0,1,1,1.0,O=C1O[C@@H]2CCCC[C@@H]2N1c1ccn2ncc(-c3ccc(-c4nc[nH]n4)cc3)c2n1,1,0.833,True
1986435,O=C1O[C@@H]2CCCC[C@@H]2N1c1ccn2ncc(-c3ccc(-c4nc[nH]n4)cc3)c2n1,,,0,401.43,3.45,7.785156151952302,SINGLE PROTEIN,Homo sapiens,Serine/threonine-protein kinase mTOR,B,9,0,1,1,1.0,O=C1O[C@@H]2CCCC[C@@H]2N1c1ccn2ncc(-c3ccc(-c4nc[nH]n4)cc3)c2n1,1,0.833,True
2136117,Cc1c([C@@H](O)CN2CCC3CN(CC(O)c4ccc(C#N)cn4)CC32)ccc2c1COC2=O,,,0,448.52,1.71,7.072316149190739,SINGLE PROTEIN,Homo sapiens,ATP-sensitive inward rectifier potassium channel 1,B,8,0,1,2,0.5,O=C1OCc2cc(CCN3CCC4CN(CCc5ccccn5)CC43)ccc21,1,0.833,True
