molregno,canonical_smiles,pref_name,first_approval,dosed_ingredient,full_mwt,logp,pic50,target_type,organism,target_name,assay_type,confidence_score,is_marketed,target_count,total_measurements,target_density,murcko_scaffold,scaffold_label,murcko_similarity,has_benzo_five_ring
2175847,CCc1cc(CNc2cc(Cl)nn3c(-c4ccc(OC)c(S(=O)(=O)NCc5cn(CCCNC(=O)c6ccc7c(c6)C6(OC7=O)c7ccc(O)cc7Oc7cc(O)ccc76)nn5)c4)c(C)nc23)ccn1,,,0,983.46,6.81,7.404503778174426,SINGLE PROTEIN,Homo sapiens,Phosphatidylinositol 4-kinase beta,B,9,0,1,1,1.0,O=C(NCCCn1cc(CNS(=O)(=O)c2cccc(-c3cnc4c(NCc5ccncc5)ccnn34)c2)nn1)c1ccc2c(c1)C1(OC2=O)c2ccccc2Oc2ccccc21,0,0.947,True
2206065,CN(Cc1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1)C(=S)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21,,,0,747.74,6.38,6.688246138944246,SINGLE PROTEIN,Homo sapiens,Tyrosine-protein kinase JAK2,B,9,0,1,1,1.0,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccc(NC(=S)NCc3ccc(Nc4ncn(C(=O)c5ccccc5)n4)cc3)cc21,0,0.947,True
2226432,O=C(NCc1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](SS[C@@H]3O[C@H](CO)[C@H](O)[C@H](n4cc(-c5cccc(F)c5)nn4)[C@H]3O)[C@@H]2O)nn1)c1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21,,,0,973.97,1.63,6.9808886808156405,SINGLE PROTEIN,Homo sapiens,"Galectin-1, Galectin-3",B,9,0,2,2,1.0,O=C(NCc1cn([C@H]2CCO[C@@H](SS[C@H]3C[C@@H](n4cc(-c5ccccc5)nn4)CCO3)C2)nn1)c1ccc2c(c1)C(=O)OC21c2ccccc2Oc2ccccc21,1,0.947,True
2245221,Nc1nc(Nc2ccc(C(=O)NCCCCCNC(=S)Nc3ccc4c(c3)C(=O)OC43c4ccc(O)cc4Oc4cc(O)ccc43)cc2)nn1C(=O)c1c(F)cccc1F,,,0,832.85,6.44,6.6439741428068775,SINGLE PROTEIN,Homo sapiens,Tyrosine-protein kinase JAK2,B,9,0,1,1,1.0,O=C(NCCCCCNC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccccc2Oc2ccccc21)c1ccc(Nc2ncn(C(=O)c3ccccc3)n2)cc1,0,0.947,True
2246936,CC(C)(C)[C@@]1(C)OCO[C@]23CC[C@@]4(C[C@@H]21)[C@H]1Cc2ccc(O)c5c2[C@@]4(CCN1CC1CC1)[C@H]3O5,,,0,465.63,4.78,8.994461970851521,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Kappa-type opioid receptor",B,8,0,2,4,0.5,c1cc2c3c(c1)O[C@H]1[C@@]45CC[C@@]6(C[C@@H]4COCO5)[C@@H](C2)N(CC2CC2)CC[C@]316,1,0.947,True
2250400,CCCC1O[C@]23CC[C@@]4(C[C@@H]2[C@@](C)(C(C)(C)C)O1)[C@H]1Cc2ccc(O)c5c2[C@@]4(CCN1CC1CC1)[C@H]3O5,,,0,507.72,5.95,8.721115536095477,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Kappa-type opioid receptor",B,8,0,2,4,0.5,c1cc2c3c(c1)O[C@H]1[C@@]45CC[C@@]6(C[C@@H]4COCO5)[C@@H](C2)N(CC2CC2)CC[C@]316,0,0.947,True
2252513,CCC1O[C@]23CC[C@@]4(C[C@@H]2[C@@](C)(C(C)(C)C)O1)[C@H]1Cc2ccc(O)c5c2[C@@]4(CCN1CC1CC1)[C@H]3O5,,,0,493.69,5.56,9.09640701241739,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Kappa-type opioid receptor",B,8,0,2,4,0.5,c1cc2c3c(c1)O[C@H]1[C@@]45CC[C@@]6(C[C@@H]4COCO5)[C@@H](C2)N(CC2CC2)CC[C@]316,1,0.947,True
2253251,CC(C)(C)[C@@]1(C)OC(c2ccccc2)O[C@]23CC[C@@]4(C[C@@H]21)[C@H]1Cc2ccc(O)c5c2[C@@]4(CCN1CC1CC1)[C@H]3O5,,,0,541.73,6.52,8.238201714444436,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Kappa-type opioid receptor",B,8,0,2,4,0.5,c1ccc(C2OC[C@H]3C[C@@]45CC[C@]3(O2)[C@@H]2Oc3cccc6c3[C@@]24CCN(CC2CC2)[C@@H]5C6)cc1,0,0.947,True
2254732,CC(C)(C)[C@@]1(C)OCO[C@]23CC[C@@]4(C[C@@H]21)[C@H]1Cc2ccc(OCc5ccccc5)c5c2[C@@]4(CCN1CC1CC1)[C@H]3O5,,,0,555.76,6.65,6.071590257605539,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Kappa-type opioid receptor",B,8,0,2,2,1.0,c1ccc(COc2ccc3c4c2O[C@H]2[C@@]56CC[C@@]7(C[C@@H]5COCO6)[C@@H](C3)N(CC3CC3)CC[C@]427)cc1,0,0.947,True
2294713,CC(=O)Oc1ccc2c(c1)Oc1cc(OC(C)=O)ccc1C21OC(=O)c2cc(CCl)ccc21,,,0,464.86,4.84,7.29073003902417,SINGLE PROTEIN,Homo sapiens,Glutathione S-transferase P,B,9,0,1,1,1.0,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,1,0.947,True
