molregno,canonical_smiles,pref_name,first_approval,dosed_ingredient,full_mwt,logp,pic50,target_type,organism,target_name,assay_type,confidence_score,is_marketed,target_count,total_measurements,target_density,murcko_scaffold,scaffold_label,murcko_similarity,has_benzo_five_ring
71516,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,VINBLASTINE,1965.0,0,810.99,3.99,5.918974082673183,SINGLE PROTEIN,Homo sapiens,"ATP-dependent translocase ABCB1, Thromboxane-A synthase",F,8,1,2,6,0.3333333333333333,C1=CC2CC[C@@H]3Nc4ccc(C5C[C@@H]6CCCN(CCc7c5[nH]c5ccccc75)C6)cc4[C@@]34CCN(C1)[C@@H]24,1,0.929,True
43378,CO[C@]12C=CC3(CC14CCC[C@H]4O)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)[C@@H]2O5,,,0,435.56,3.31,9.352104719042368,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Kappa-type opioid receptor, Delta-type opioid receptor",B,8,0,3,6,0.5,C1=CC23CC4(CCCC4)C1[C@H]1Oc4cccc5c4C12CCN(CC1CC1)C3C5,1,0.929,True
43336,CO[C@]12C=CC3(CC14CCC(C)(C)[C@H]4O)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)[C@@H]2O5,,,0,463.62,3.94,8.889392022040816,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Kappa-type opioid receptor, Delta-type opioid receptor",B,8,0,3,6,0.5,C1=CC23CC4(CCCC4)C1[C@H]1Oc4cccc5c4C12CCN(CC1CC1)C3C5,1,0.929,True
43180,CO[C@]12C=CC3(CC14CCC(C)(C)[C@H]4O)C1Cc4ccc(O)c5c4C3(CCN1C)[C@@H]2O5,,,0,423.55,3.16,8.648202283636603,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Kappa-type opioid receptor, Delta-type opioid receptor",B,8,0,3,6,0.5,C1=CC23CC4(CCCC4)C1[C@H]1Oc4cccc5c4C12CCNC3C5,1,0.929,True
43178,CO[C@]12C=CC3(CC14CCC[C@H]4O)C1Cc4ccc(O)c5c4C3(CCN1C)[C@@H]2O5,,,0,395.5,2.53,8.588141243922278,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Kappa-type opioid receptor, Delta-type opioid receptor",B,8,0,3,6,0.5,C1=CC23CC4(CCCC4)C1[C@H]1Oc4cccc5c4C12CCNC3C5,1,0.929,True
70148,COc1ccc(N2C[C@H](CN3CCC(O)(c4ccc5c(c4)OC4(CCCC4)O5)CC3)OC2=O)cc1,,,0,480.56,4.05,7.207608310501746,SINGLE PROTEIN,Homo sapiens,Sigma non-opioid intracellular receptor 1,B,8,0,1,1,1.0,O=C1O[C@@H](CN2CCC(c3ccc4c(c3)OC3(CCCC3)O4)CC2)CN1c1ccccc1,1,0.929,True
92093,CC[C@@H]1CN2CC[C@]3(Nc4cccc(OC)c4C3=O)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,,,0,414.5,2.87,8.493596179409838,SINGLE PROTEIN,Homo sapiens,"Delta-type opioid receptor, Kappa-type opioid receptor, Mu-type opioid receptor",B,8,0,3,17,0.1764705882352941,O=C1c2ccccc2N[C@]12CCN1CCCC[C@H]12,1,1.0,True
173323,O=C(CN1CCN(Cc2ccc(Cl)cc2)CC1)N1c2ccccc2CC12CCCC2,,,0,423.99,4.36,7.085927946348107,SINGLE PROTEIN,Homo sapiens,"D(2) dopamine receptor, D(4) dopamine receptor",B,8,0,2,2,1.0,O=C(CN1CCN(Cc2ccccc2)CC1)N1c2ccccc2CC12CCCC2,1,0.929,True
7347,O=C1NC(=O)C2(N1)c1cc(F)ccc1-c1ccc(F)cc12,IMIRESTAT,,0,286.24,2.03,7.351760741675635,SINGLE PROTEIN,Homo sapiens,"Aldo-keto reductase family 1 member B1, Aldo-keto reductase family 1 member A1",B,8,0,2,5,0.4,O=C1NC(=O)C2(N1)c1ccccc1-c1ccccc12,1,0.929,True
159510,C=C(C)CN1CCC23c4c5ccc(O)c4O[C@H]2C(=O)C2(Cc4ccccc4C2)C[C@@]3(O)C1C5,,,0,443.54,3.09,6.362062049205427,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Delta-type opioid receptor, Kappa-type opioid receptor",B,8,0,3,3,1.0,O=C1[C@@H]2Oc3cccc4c3C23CCNC(C4)C3CC12Cc1ccccc1C2,1,1.0,True
24112,O=C1NC(=O)C2(CN(Cc3nc4ccccc4s3)c3ccc(Cl)cc32)N1,,,0,384.85,3.0,7.431798275933005,SINGLE PROTEIN,Homo sapiens,Aldo-keto reductase family 1 member B1,B,8,0,1,1,1.0,O=C1NC(=O)C2(CN(Cc3nc4ccccc4s3)c3ccccc32)N1,1,0.929,True
24110,O=C1NC(=O)C2(CN(Cc3ccc(F)cc3)c3ccc(F)cc32)N1,,,0,329.31,2.02,6.853871964321762,SINGLE PROTEIN,Homo sapiens,Aldo-keto reductase family 1 member B1,B,8,0,1,1,1.0,O=C1NC(=O)C2(CN(Cc3ccccc3)c3ccccc32)N1,1,0.929,True
37964,O=C(Nc1ccc(Cl)c(Cl)c1)[C@H]1[C@H](c2ccccc2)O[C@@]23C(=O)c4ccccc4[C@@H]2OC(=O)[C@@H]13,,,0,494.33,5.17,5.546832479097454,SINGLE PROTEIN,Homo sapiens,"Phenylalanine--tRNA ligase, mitochondrial",B,8,0,1,2,0.5,O=C(Nc1ccccc1)[C@H]1[C@H](c2ccccc2)O[C@@]23C(=O)c4ccccc4[C@@H]2OC(=O)[C@@H]13,1,1.0,True
37042,O=C(Nc1ccc(Cl)c(Cl)c1)[C@H]1[C@H](c2ccccc2)O[C@@]23[C@@H](O)c4ccccc4[C@@H]2OC(=O)[C@@H]13,,,0,496.35,5.02,6.677288865325454,SINGLE PROTEIN,Homo sapiens,"Phenylalanine--tRNA ligase, mitochondrial",B,8,0,1,2,0.5,O=C(Nc1ccccc1)[C@H]1[C@H](c2ccccc2)O[C@@]23Cc4ccccc4[C@@H]2OC(=O)[C@@H]13,1,0.929,True
36937,O=C(Nc1ccc(Cl)c(Cl)c1)[C@H]1[C@H](c2ccccc2)O[C@@]23[C@H](O)c4ccccc4[C@@H]2OC(=O)[C@@H]13,,,0,496.35,5.02,6.3101659829831735,SINGLE PROTEIN,Homo sapiens,"Phenylalanine--tRNA ligase, mitochondrial",B,8,0,1,2,0.5,O=C(Nc1ccccc1)[C@H]1[C@H](c2ccccc2)O[C@@]23Cc4ccccc4[C@@H]2OC(=O)[C@@H]13,1,0.929,True
192755,N#Cc1cccc(-c2ccc3c(c2)C2(CCCC2)C(=O)N3)c1,,,0,288.35,3.99,7.686132779630847,SINGLE PROTEIN,Homo sapiens,Progesterone receptor,F,8,0,1,1,1.0,O=C1Nc2ccc(-c3ccccc3)cc2C12CCCC2,1,1.0,True
192753,O=C1Nc2ccc(-c3cccc(Cl)c3)cc2C12CCCC2,,,0,297.79,4.77,7.494850021680094,SINGLE PROTEIN,Homo sapiens,Progesterone receptor,F,8,0,1,2,0.5,O=C1Nc2ccc(-c3ccccc3)cc2C12CCCC2,1,1.0,True
193009,N#Cc1cc(F)cc(-c2ccc3c(c2)C2(CCCC2)C(=O)N3)c1,,,0,306.34,4.13,7.46138644146878,SINGLE PROTEIN,Homo sapiens,Progesterone receptor,F,8,0,1,3,0.3333333333333333,O=C1Nc2ccc(-c3ccccc3)cc2C12CCCC2,1,1.0,True
193203,O=C1Nc2ccc(-c3cccc([N+](=O)[O-])c3)cc2C12CCCC2,,,0,308.34,4.03,7.067329547187708,SINGLE PROTEIN,Homo sapiens,Progesterone receptor,F,8,0,1,2,0.5,O=C1Nc2ccc(-c3ccccc3)cc2C12CCCC2,1,1.0,True
206994,O=C1CC2(CCc3ccccc32)C(=O)N1CC1CCN(CCc2ccccc2)CC1,,,0,402.54,3.58,5.698970004336019,SINGLE PROTEIN,Homo sapiens,C-C chemokine receptor type 3,B,8,0,1,1,1.0,O=C1CC2(CCc3ccccc32)C(=O)N1CC1CCN(CCc2ccccc2)CC1,1,0.929,True
276349,O=C1NC(=O)C2(N1)c1ccccc1-c1ccccc12,,,0,250.26,1.75,6.476123524361869,SINGLE PROTEIN,Homo sapiens,Integrin alpha-4,F,9,0,1,1,1.0,O=C1NC(=O)C2(N1)c1ccccc1-c1ccccc12,1,0.929,True
