molregno,canonical_smiles,pref_name,first_approval,dosed_ingredient,full_mwt,logp,pic50,target_type,organism,target_name,assay_type,confidence_score,is_marketed,target_count,total_measurements,target_density,murcko_scaffold,scaffold_label,murcko_similarity,has_benzo_five_ring
6902,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,NALOXONE,1971.0,0,327.38,1.3,7.746194659749981,SINGLE PROTEIN,Homo sapiens,"Kappa-type opioid receptor, Mu-type opioid receptor, Delta-type opioid receptor, Cytochrome P450 2D6, Cytochrome b-245 heavy chain",B,8,1,5,103,0.0485436893203883,O=C1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H]1O5,1,0.818,True
27624,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,OXYCODONE,1950.0,1,315.37,1.05,7.396366155421268,SINGLE PROTEIN,Homo sapiens,Mu-type opioid receptor,F,9,1,1,9,0.1111111111111111,O=C1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H]1O5,1,0.818,True
58890,C=C(Cl)C(=O)N[C@@H]1CCC2C3Cc4ccc(O)c5c4C2(CCN3C)[C@H]1O5,,,0,374.87,2.3,7.465907069126919,SINGLE PROTEIN,Homo sapiens,"Delta-type opioid receptor, Kappa-type opioid receptor",B,8,0,2,2,1.0,c1cc2c3c(c1)O[C@H]1CCCC4C(C2)NCCC341,1,0.818,True
58930,C=C(Cl)C(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4C31CCN(C)C2C5,,,0,388.85,1.62,6.742381087340785,SINGLE PROTEIN,Homo sapiens,"Delta-type opioid receptor, Kappa-type opioid receptor",B,8,0,2,2,1.0,O=C1CCC2C3Cc4cccc5c4C2(CCN3)[C@H]1O5,1,0.818,True
94484,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,OXYMORPHONE,1959.0,0,301.34,0.75,7.58475475497046,SINGLE PROTEIN,Homo sapiens,"Delta-type opioid receptor, Mu-type opioid receptor, Kappa-type opioid receptor",B,8,1,3,7,0.4285714285714285,O=C1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H]1O5,1,0.818,True
181310,CO[C@@]12CCC(=O)[C@]3(C)Oc4c(O)ccc5c4[C@@]31CCN(C)[C@@H]2C5,,,0,329.4,1.79,8.325302280588025,SINGLE PROTEIN,Homo sapiens,"Kappa-type opioid receptor, Mu-type opioid receptor, Delta-type opioid receptor",B,8,0,3,8,0.375,O=C1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3)C1O5,1,0.818,True
234155,C=C(COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314)C(=O)OC,,,0,399.44,1.15,7.67778070526608,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,O=C1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H]1O5,1,0.818,True
355283,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OS(=O)(=O)O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,,,0,409.46,1.47,6.488116639021126,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)O[C@H]1CCC[C@H]4[C@@H](C2)NCC[C@]314,1,0.818,True
355282,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](OS(=O)(=O)O)CC[C@H]3[C@H]1C5,,,0,367.42,1.25,7.72584215073632,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)O[C@H]1CCC[C@H]4[C@@H](C2)NCC[C@]314,1,0.818,True
355163,COc1ccc2c3c1O[C@H]1[C@@H](OS(=O)(=O)O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,,,0,381.45,1.55,5.938547520912807,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)O[C@H]1CCC[C@H]4[C@@H](C2)NCC[C@]314,1,0.818,True
