molregno,canonical_smiles,pref_name,first_approval,dosed_ingredient,full_mwt,logp,pic50,target_type,organism,target_name,assay_type,confidence_score,is_marketed,target_count,total_measurements,target_density,murcko_scaffold,scaffold_label,murcko_similarity,has_benzo_five_ring
2033258,COC[C@H]1CN[C@H](C)CN1CC(=O)N1CC2(CN(C(C)=O)C2)c2ccc(Cc3ccccc3)cc21,,,0,476.62,2.03,7.494850021680094,SINGLE PROTEIN,Homo sapiens,"E3 ubiquitin-protein ligase XIAP, Baculoviral IAP repeat-containing protein 2",B,8,0,2,2,1.0,O=C(CN1CCNCC1)N1CC2(CNC2)c2ccc(Cc3ccccc3)cc21,1,0.923,True
2033254,COC[C@H]1CN[C@H](C)CN1CC(=O)N1CC2(CN(C(C)=O)C2)c2ccc(Cl)cc21,,,0,420.94,1.1,6.2887050800742585,SINGLE PROTEIN,Homo sapiens,"E3 ubiquitin-protein ligase XIAP, Baculoviral IAP repeat-containing protein 2",B,8,0,2,2,1.0,O=C(CN1CCNCC1)N1CC2(CNC2)c2ccccc21,1,0.923,True
1250800,Cc1nnc(-c2ccc(C)c(-c3ccc4c(c3)NC(=O)C43CCC3)c2)[nH]1,,,0,344.42,4.13,7.744727494896693,SINGLE PROTEIN,Homo sapiens,Mitogen-activated protein kinase 14,B,9,0,1,2,0.5,O=C1Nc2cc(-c3cccc(-c4nnc[nH]4)c3)ccc2C12CCC2,1,1.0,True
2078183,O=C1Nc2ccc(NS(=O)(=O)C3CCCCC3)cc2C12CCC2,,,0,334.44,3.13,6.823908740944319,SINGLE PROTEIN,Homo sapiens,Bromodomain-containing protein 4,B,9,0,1,1,1.0,O=C1Nc2ccc(NS(=O)(=O)C3CCCCC3)cc2C12CCC2,1,1.0,True
1969699,COc1cn(-c2ccc3c(c2F)C2(CCC2)C(=O)N3C)nc(-c2ccnn2-c2ccccc2)c1=O,,,0,471.49,3.63,9.886056647693165,SINGLE PROTEIN,Homo sapiens,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",B,9,0,1,1,1.0,O=C1Nc2ccc(-n3ccc(=O)c(-c4ccnn4-c4ccccc4)n3)cc2C12CCC2,1,1.0,True
1431423,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CS(=O)(=O)C2)c2ccc(N3CCOCC3)cc21,,,0,530.63,4.4,7.203670404958428,SINGLE PROTEIN,Homo sapiens,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform, Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform, Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",B,8,0,3,3,1.0,O=S1(=O)CC2(CN(c3cc(-c4ccccn4)nc4ccccc34)c3cc(N4CCOCC4)ccc32)C1,1,0.923,True
417081,CC(C)(Cc1ccc(Oc2ccc(C(N)=O)cn2)cc1)NC[C@H](O)COc1cccc2c1C1(CCC1)C(=O)N2,,,0,530.63,3.7,7.75448733218585,SINGLE PROTEIN,Homo sapiens,Beta-3 adrenergic receptor,F,9,0,1,1,1.0,O=C1Nc2cccc(OCCCNCCc3ccc(Oc4ccccn4)cc3)c2C12CCC2,1,1.0,True
1351329,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c4c(c3)C3(CCC3)CN4)[C@@H]2O)c1,,,0,500.68,4.08,6.371064513031436,SINGLE PROTEIN,Homo sapiens,"Beta-secretase 1, Cathepsin D",B,9,0,2,3,0.6666666666666666,O=S1(=O)C[C@@H](Cc2ccc3c(c2)C2(CCC2)CN3)C[C@@H](NCc2ccccc2)C1,1,0.923,True
1611709,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccccc1N1CC2(CCC2)c2ccccc21,,,0,453.46,6.8,8.048998554324635,SINGLE PROTEIN,Homo sapiens,P2Y purinoceptor 1,F,9,0,1,2,0.5,O=C(Nc1ccccc1)Nc1ccccc1N1CC2(CCC2)c2ccccc21,1,0.923,True
1161979,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCC1,,,0,346.43,3.93,8.853871964321762,SINGLE PROTEIN,Homo sapiens,Mitogen-activated protein kinase 14,B,9,0,1,2,0.5,O=C(NC1CC1)c1cccc(-c2ccc3c(c2)NC(=O)C32CCC2)c1,1,1.0,True
1986548,CC1=NC2(N=C1N)c1cc(C#CC(C)(C)C)ccc1CC21CCC1,,,0,319.45,3.8,5.583359492661718,SINGLE PROTEIN,Homo sapiens,"Beta-secretase 1, Amyloid-beta precursor protein",B,9,0,2,3,0.6666666666666666,C1=NC2(N=C1)c1ccccc1CC21CCC1,1,0.923,True
1986547,CC1=NC2(N=C1N)c1cc(C#CC3CC3)ccc1CC21CCC1,,,0,303.41,3.16,6.376012704639515,SINGLE PROTEIN,Homo sapiens,"Beta-secretase 1, Amyloid-beta precursor protein",B,9,0,2,4,0.5,C(#CC1CC1)c1ccc2c(c1)C1(N=CC=N1)C1(CCC1)C2,1,0.923,True
1986546,CC#Cc1cncc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)C2(CCC2)C3)c1,,,0,354.46,3.83,7.57339001516655,SINGLE PROTEIN,Homo sapiens,"Beta-secretase 1, Amyloid-beta precursor protein",B,9,0,2,5,0.4,C1=NC2(N=C1)c1cc(-c3cccnc3)ccc1CC21CCC1,1,0.923,True
1986545,CC1=NC2(N=C1N)c1cc(-c3cncc(Cl)c3)ccc1CC21CCC1,,,0,350.85,4.11,6.642040743138191,SINGLE PROTEIN,Homo sapiens,"Beta-secretase 1, Amyloid-beta precursor protein",B,9,0,2,4,0.5,C1=NC2(N=C1)c1cc(-c3cccnc3)ccc1CC21CCC1,1,0.923,True
192239,O=C1Nc2ccc(-c3cccc(Cl)c3)cc2C12CCC2,,,0,283.76,4.38,7.150580586203101,SINGLE PROTEIN,Homo sapiens,Progesterone receptor,F,8,0,1,1,1.0,O=C1Nc2ccc(-c3ccccc3)cc2C12CCC2,1,1.0,True
