molregno,canonical_smiles,pref_name,first_approval,dosed_ingredient,full_mwt,logp,pic50,target_type,organism,target_name,assay_type,confidence_score,is_marketed,target_count,total_measurements,target_density,murcko_scaffold,scaffold_label,murcko_similarity,has_benzo_five_ring
29421,C[C@@H](O)CN1CCC[C@@H](C(=O)NC2CC3CCC2(CS(=O)(=O)N2CCC4(CCc5ccccc54)CC2)C3(C)C)C1,,,0,571.83,3.7,6.886056647693163,SINGLE PROTEIN,Homo sapiens,Oxytocin receptor,F,8,0,1,1,1.0,O=C(NC1CC2CCC1(CS(=O)(=O)N1CCC3(CCc4ccccc43)CC1)C2)[C@@H]1CCCNC1,1,0.933,True
37258,CS(=O)(=O)N1CC2(CCN(CCCC3(c4ccc(Cl)c(Cl)c4)CCC(=O)N(Cc4ccccc4)C3)CC2)c2ccccc21,,,0,640.68,6.65,7.459037590850291,SINGLE PROTEIN,Homo sapiens,"Substance-P receptor, Substance-K receptor, Neuromedin-K receptor",B,8,0,3,3,1.0,O=C1CCC(CCCN2CCC3(CC2)CNc2ccccc23)(c2ccccc2)CN1Cc1ccccc1,0,0.933,True
21459,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,NALTREXONE,1984.0,1,341.41,1.53,8.49467840811868,SINGLE PROTEIN,Homo sapiens,"Delta-type opioid receptor, Kappa-type opioid receptor, Mu-type opioid receptor, Cytochrome P450 2D6",F,8,1,4,151,0.0264900662251655,O=C1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1,0.933,True
16538,Cc1nc(-c2ccc(-c3ccc(C(=O)Nc4ccc5c(c4)C4(CCN(C)CC4)CO5)cc3)c(C)c2)no1,,,0,494.6,5.63,6.400012879428942,SINGLE PROTEIN,Homo sapiens,"5-hydroxytryptamine receptor 1B, 5-hydroxytryptamine receptor 1D, 5-hydroxytryptamine receptor 2A",B,9,0,3,3,1.0,O=C(Nc1ccc2c(c1)C1(CCNCC1)CO2)c1ccc(-c2ccc(-c3ncon3)cc2)cc1,1,0.933,True
26118,Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1,SB-224289,,0,520.63,5.58,6.310584123159877,SINGLE PROTEIN,Homo sapiens,"5-hydroxytryptamine receptor 1A, 5-hydroxytryptamine receptor 1D, 5-hydroxytryptamine receptor 1B, 5-hydroxytryptamine receptor 2A, 5-hydroxytryptamine receptor 2C, Alpha-2A adrenergic receptor, Beta-1 adrenergic receptor, Beta-2 adrenergic receptor, D(2) dopamine receptor, D(3) dopamine receptor, Muscarinic acetylcholine receptor M1, Muscarinic acetylcholine receptor M2, Alpha-1D adrenergic receptor, Alpha-2B adrenergic receptor, Muscarinic acetylcholine receptor M3, Muscarinic acetylcholine receptor M5, D(1A) dopamine receptor, D(1B) dopamine receptor, Sodium-dependent noradrenaline transporter, Sodium-dependent dopamine transporter, Sigma intracellular receptor 2",B,9,0,21,31,0.6774193548387096,O=C(c1ccc(-c2ccc(-c3ncon3)cc2)cc1)N1CCc2cc3c(cc21)C1(CCNCC1)CO3,0,0.933,True
13625,COc1ccc(C[C@@H](NC(=O)[C@H]2Cc3ccccc3CN2)C(=O)N2CCC3(CC2)CN(S(C)(=O)=O)c2ccccc23)cc1,,,0,602.76,2.78,7.027758663924915,SINGLE PROTEIN,Homo sapiens,"Melanocyte-stimulating hormone receptor, Melanocortin receptor 4",B,9,0,2,2,1.0,O=C(N[C@H](Cc1ccccc1)C(=O)N1CCC2(CC1)CNc1ccccc12)[C@H]1Cc2ccccc2CN1,1,0.933,True
6902,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,NALOXONE,1971.0,0,327.38,1.3,7.746194659749981,SINGLE PROTEIN,Homo sapiens,"Kappa-type opioid receptor, Mu-type opioid receptor, Delta-type opioid receptor, Cytochrome P450 2D6, Cytochrome b-245 heavy chain",B,8,1,5,103,0.0485436893203883,O=C1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H]1O5,1,0.933,True
43378,CO[C@]12C=CC3(CC14CCC[C@H]4O)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)[C@@H]2O5,,,0,435.56,3.31,9.352104719042368,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Kappa-type opioid receptor, Delta-type opioid receptor",B,8,0,3,6,0.5,C1=CC23CC4(CCCC4)C1[C@H]1Oc4cccc5c4C12CCN(CC1CC1)C3C5,1,0.933,True
43336,CO[C@]12C=CC3(CC14CCC(C)(C)[C@H]4O)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)[C@@H]2O5,,,0,463.62,3.94,8.889392022040816,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Kappa-type opioid receptor, Delta-type opioid receptor",B,8,0,3,6,0.5,C1=CC23CC4(CCCC4)C1[C@H]1Oc4cccc5c4C12CCN(CC1CC1)C3C5,1,0.933,True
24464,NC(=O)N/N=C1/CC[C@@]2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)[C@H]1O5,NALTREXONE SEMICARBAZONE,,0,398.46,0.98,8.431798275933005,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,N=C1CCC2C3Cc4cccc5c4C2(CCN3CC2CC2)[C@H]1O5,1,0.933,True
