molregno,canonical_smiles,pref_name,first_approval,dosed_ingredient,full_mwt,logp,pic50,target_type,organism,target_name,assay_type,confidence_score,is_marketed,target_count,total_measurements,target_density,murcko_scaffold,scaffold_label,murcko_similarity,has_benzo_five_ring
37964,O=C(Nc1ccc(Cl)c(Cl)c1)[C@H]1[C@H](c2ccccc2)O[C@@]23C(=O)c4ccccc4[C@@H]2OC(=O)[C@@H]13,,,0,494.33,5.17,5.546832479097454,SINGLE PROTEIN,Homo sapiens,"Phenylalanine--tRNA ligase, mitochondrial",B,8,0,1,2,0.5,O=C(Nc1ccccc1)[C@H]1[C@H](c2ccccc2)O[C@@]23C(=O)c4ccccc4[C@@H]2OC(=O)[C@@H]13,1,0.824,True
92093,CC[C@@H]1CN2CC[C@]3(Nc4cccc(OC)c4C3=O)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,,,0,414.5,2.87,8.493596179409838,SINGLE PROTEIN,Homo sapiens,"Delta-type opioid receptor, Kappa-type opioid receptor, Mu-type opioid receptor",B,8,0,3,17,0.1764705882352941,O=C1c2ccccc2N[C@]12CCN1CCCC[C@H]12,1,0.824,True
159510,C=C(C)CN1CCC23c4c5ccc(O)c4O[C@H]2C(=O)C2(Cc4ccccc4C2)C[C@@]3(O)C1C5,,,0,443.54,3.09,6.362062049205427,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Delta-type opioid receptor, Kappa-type opioid receptor",B,8,0,3,3,1.0,O=C1[C@@H]2Oc3cccc4c3C23CCNC(C4)C3CC12Cc1ccccc1C2,1,0.824,True
192753,O=C1Nc2ccc(-c3cccc(Cl)c3)cc2C12CCCC2,,,0,297.79,4.77,7.494850021680094,SINGLE PROTEIN,Homo sapiens,Progesterone receptor,F,8,0,1,2,0.5,O=C1Nc2ccc(-c3ccccc3)cc2C12CCCC2,1,0.824,True
192755,N#Cc1cccc(-c2ccc3c(c2)C2(CCCC2)C(=O)N3)c1,,,0,288.35,3.99,7.686132779630847,SINGLE PROTEIN,Homo sapiens,Progesterone receptor,F,8,0,1,1,1.0,O=C1Nc2ccc(-c3ccccc3)cc2C12CCCC2,1,0.824,True
193009,N#Cc1cc(F)cc(-c2ccc3c(c2)C2(CCCC2)C(=O)N3)c1,,,0,306.34,4.13,7.46138644146878,SINGLE PROTEIN,Homo sapiens,Progesterone receptor,F,8,0,1,3,0.3333333333333333,O=C1Nc2ccc(-c3ccccc3)cc2C12CCCC2,1,0.824,True
193203,O=C1Nc2ccc(-c3cccc([N+](=O)[O-])c3)cc2C12CCCC2,,,0,308.34,4.03,7.067329547187708,SINGLE PROTEIN,Homo sapiens,Progesterone receptor,F,8,0,1,2,0.5,O=C1Nc2ccc(-c3ccccc3)cc2C12CCCC2,1,0.824,True
280211,CC1(C)OC23CCC4(CC2C1(C)C)C1Cc2ccc(O)c5c2C4(CCN1CC1CC1)C3O5,,,0,435.61,4.81,9.096910013008056,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)OC1C45CCC6(CC4CCO5)C(C2)N(CC2CC2)CCC316,1,0.941,True
280679,CC1C2CC34CCC2(OC1(C)C)C1Oc2c(O)ccc5c2C13CCN(C)C4C5,,,0,381.52,3.64,8.356547323513812,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)OC1C45CCC6(CC4CCO5)C(C2)NCCC316,1,0.941,True
280245,C[C@@H]1CO[C@@]23CCC4(C[C@H]12)C1Cc2ccc(O)c5c2C4(CCN1CC1CC1)[C@H]3O5,,,0,393.53,3.64,8.920818753952375,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)O[C@@H]1C34CCN(CC3CC3)C(C2)C42CC[C@@]13OCC[C@H]3C2,1,0.941,True
279574,C[C@H]1CO[C@@]23CCC4(C[C@@H]12)[C@H]1Cc2ccc(O)c5c2C4(CCN1CC1CC1)[C@H]3O5,,,0,393.53,3.64,9.154901959985745,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)O[C@@H]1C34CCN(CC3CC3)[C@H](C2)C42CC[C@@]13OCC[C@@H]3C2,1,0.941,True
348686,CN(C)C(=O)[C@@H]1N[C@H](CC(C)(C)C)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1,,,0,474.43,4.83,7.4005280572661905,SINGLE PROTEIN,Homo sapiens,E3 ubiquitin-protein ligase Mdm2,B,9,0,1,3,0.3333333333333333,O=C1Nc2ccccc2[C@@]12CNC[C@@H]2c1ccccc1,1,0.824,True
348702,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,,,0,577.53,4.33,7.848371339258888,SINGLE PROTEIN,Homo sapiens,E3 ubiquitin-protein ligase Mdm2,B,9,0,1,4,0.25,O=C(NCCN1CCOCC1)[C@@H]1NC[C@]2(C(=O)Nc3ccccc32)[C@H]1c1ccccc1,1,0.824,True
348694,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)ccc12,,,0,559.54,4.19,6.99148333035061,SINGLE PROTEIN,Homo sapiens,E3 ubiquitin-protein ligase Mdm2,B,9,0,1,2,0.5,O=C(NCCN1CCOCC1)[C@@H]1NC[C@]2(C(=O)Nc3ccccc32)[C@H]1c1ccccc1,1,0.824,True
348757,CN(C)C(=O)[C@@H]1N[C@H](CC(C)(C)C)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,,,0,492.42,4.97,7.42021640338319,SINGLE PROTEIN,Homo sapiens,E3 ubiquitin-protein ligase Mdm2,B,9,0,1,1,1.0,O=C1Nc2ccccc2[C@@]12CNC[C@@H]2c1ccccc1,1,0.824,True
